Line,Stoppage Reason,Shift Id,mean,std,min,max,length,AHC_label,Density_label
Line 1,Bellow Replacement,B,1920.0,169.7056274847714,1800,2040,2,0,0
Line 1,CIL,A,2597.5652173913045,1065.028589484544,1,5142,69,0,0
Line 1,CIL,B,2297.4285714285716,734.6688899634886,780,3840,63,0,0
Line 1,CIL,C,1683.1875,773.7668504716966,300,3692,64,0,0
Line 1,Cube Breakage,A,2250.0,1539.155612665594,780,4800,10,0,0
Line 1,Cube Breakage,B,1223.7142857142858,889.0087577907044,600,2566,7,0,0
Line 1,Cube Breakage,C,647.4117647058823,842.3477650904886,299,3747,17,0,0
Line 1,Die Checks,B,394.2857142857143,90.71147352221453,360,600,7,0,0
Line 1,End of Shift Cleaning,A,300.0,0.0,300,300,4,0,0
Line 1,End of Shift Cleaning,B,298.5,3.0,294,300,4,0,0
Line 1,End of Shift Cleaning,C,430.5882352941176,366.9548778159805,120,1800,17,0,0
Line 1,Film Jamming,A,2497.846153846154,1618.1453810949663,240,4800,13,0,0
Line 1,Film Jamming,B,1695.857142857143,1431.6904261014236,600,4339,7,0,0
Line 1,Film Jamming,C,1453.625,1348.5367665415304,180,3525,8,0,0
Line 1,IS Power Outage,B,2100.0,2121.3203435596424,600,3600,2,0,0
Line 1,Inlay Issues,B,600.0,0.0,600,600,3,0,0
Line 1,Intermittent Cleaning,A,1628.3333333333333,1088.5521183139163,180,4200,36,0,0
Line 1,Intermittent Cleaning,B,784.8695652173913,659.0596127229537,162,2400,23,0,0
Line 1,Intermittent Cleaning,C,403.3333333333333,564.7856736345718,60,2880,36,0,0
Line 1,Punch Tip Checks,A,892.5,1185.0,300,2670,4,0,0
Line 1,Punch Tip Checks,B,300.0,0.0,300,300,6,0,0
Line 1,Punch Tip Checks,C,333.0,102.03714493932306,300,660,20,0,0
Line 1,Running,A,2340.0,2539.921258622007,420,5220,3,0,0
Line 1,Running,B,1215.0,490.81564767232106,600,1800,4,0,0
Line 1,Running,C,677.1428571428571,834.7796971998916,120,2040,7,0,0
Line 1,SHO,A,1869.0,1438.5881236384805,180,4500,20,0,0
